"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
0.000,-0.009,0.000,0.005,0.000,0.028,0.000,0.039
0.050,-0.009,0.100,0.004,0.100,0.026,0.100,0.039
0.100,-0.010,0.200,0.005,0.200,0.026,0.200,0.038
0.150,-0.009,0.300,0.005,0.300,0.027,0.300,0.038
0.200,-0.009,0.400,0.004,0.400,0.027,0.400,0.038
0.250,-0.010,0.500,0.005,0.500,0.027,0.500,0.038
0.300,-0.010,0.600,0.005,0.600,0.026,0.600,0.038
0.350,-0.009,0.700,0.004,0.700,0.026,0.700,0.038
0.400,-0.009,0.800,0.004,0.800,0.027,0.800,0.038
0.450,-0.010,0.900,0.004,0.900,0.026,0.900,0.038
0.500,-0.010,1.000,0.005,1.000,0.026,1.000,0.037
0.550,-0.010,1.100,0.005,1.100,0.027,1.100,0.038
0.600,-0.010,1.200,0.005,1.200,0.026,1.200,0.037
0.650,-0.010,1.300,0.005,1.300,0.026,1.300,0.037
0.700,-0.010,1.400,0.006,1.400,0.026,1.400,0.037
0.750,-0.010,1.500,0.005,1.500,0.026,1.500,0.038
0.800,-0.010,1.600,0.005,1.600,0.026,1.600,0.036
0.850,-0.010,1.700,0.005,1.700,0.025,1.700,0.037
0.900,-0.010,1.800,0.005,1.800,0.025,1.800,0.037
0.950,-0.010,1.900,0.005,1.900,0.025,1.900,0.038
1.000,-0.010,2.000,0.005,2.000,0.025,2.000,0.037
1.050,-0.010,2.100,0.005,2.100,0.024,2.100,0.037
1.100,-0.009,2.200,0.005,2.200,0.026,2.200,0.038
1.150,-0.010,2.300,0.007,2.300,0.026,2.300,0.037
1.200,-0.009,2.400,0.006,2.400,0.024,2.400,0.035
1.250,-0.009,2.500,0.005,2.500,0.025,2.500,0.037
1.300,-0.009,2.600,0.005,2.600,0.025,2.600,0.035
1.350,-0.010,2.700,0.004,2.700,0.024,2.700,0.037
1.400,-0.009,2.800,6.104E-4,2.800,0.025,2.800,0.035
1.450,-0.009,2.900,0.000,2.900,0.025,2.900,0.038
1.500,-0.009,3.000,0.000,3.000,0.025,3.000,0.036
1.550,-0.009,3.100,-6.104E-4,3.100,0.025,3.100,0.037
1.600,-0.009,3.200,-0.001,3.200,0.025,3.200,0.037
1.650,-0.010,3.300,-0.001,3.300,0.024,3.300,0.036
1.700,-0.009,3.400,-0.001,3.400,0.025,3.400,0.035
1.750,-0.010,3.500,-0.003,3.500,0.024,3.500,0.035
1.800,-0.010,3.600,-0.004,3.600,0.025,3.600,0.036
1.850,-0.009,3.700,-0.002,3.700,0.025,3.700,0.036
1.900,-0.010,3.800,-0.005,3.800,0.024,3.800,0.036
1.950,-0.010,3.900,-0.003,3.900,0.024,3.900,0.037
2.000,-0.010,4.000,-0.002,4.000,0.024,4.000,0.035
2.050,-0.010,4.100,-0.002,4.100,0.024,4.100,0.036
2.100,-0.010,4.200,-0.005,4.200,0.024,4.200,0.035
2.150,-0.010,4.300,-0.006,4.300,0.024,4.300,0.035
2.200,-0.011,4.400,-0.007,4.400,0.024,4.400,0.036
2.250,-0.010,4.500,-0.007,4.500,0.024,4.500,0.035
2.300,-0.010,4.600,-0.007,4.600,0.024,4.600,0.034
2.350,-0.011,4.700,-0.008,4.700,0.024,4.700,0.035
2.400,-0.010,4.800,-0.009,4.800,0.024,4.800,0.035
2.450,-0.010,4.900,-0.009,4.900,0.024,4.900,0.035
2.500,-0.010,5.000,-0.009,5.000,0.024,5.000,0.035
2.550,-0.010,5.100,-0.010,5.100,0.024,5.100,0.035
2.600,-0.010,5.200,-0.009,5.200,0.024,5.200,0.035
2.650,-0.010,5.300,-0.009,5.300,0.024,5.300,0.034
2.700,-0.010,5.400,-0.009,5.400,0.024,5.400,0.035
2.750,-0.010,5.500,-0.009,5.500,0.024,5.500,0.035
2.800,-0.009,5.600,-0.009,5.600,0.024,5.600,0.035
2.850,-0.009,5.700,-0.010,5.700,0.024,5.700,0.035
2.900,-0.009,5.800,-0.010,5.800,0.024,5.800,0.034
2.950,-0.007,5.900,-0.010,5.900,0.024,5.900,0.035
3.000,-0.004,6.000,-0.010,6.000,0.024,6.000,0.034
3.050,-0.004,6.100,-0.010,6.100,0.024,6.100,0.035
3.100,-0.002,6.200,-0.010,6.200,0.024,6.200,0.035
3.150,-0.002,6.300,-0.010,6.300,0.024,6.300,0.034
3.200,-0.002,6.400,-0.010,6.400,0.024,6.400,0.034
3.250,-6.104E-4,6.500,-0.010,6.500,0.024,6.500,0.035
3.300,0.000,6.600,-0.010,6.600,0.025,6.600,0.034
3.350,0.000,6.700,-0.009,6.700,0.024,6.700,0.034
3.400,0.000,6.800,-0.009,6.800,0.024,6.800,0.034
3.450,0.000,6.900,-0.009,6.900,0.024,6.900,0.034
3.500,0.000,7.000,-0.010,7.000,0.024,7.000,0.035
3.550,0.000,7.100,-0.010,7.100,0.024,7.100,0.035
3.600,0.000,7.200,-0.010,7.200,0.024,7.200,0.034
3.650,0.000,7.300,-0.011,7.300,0.024,7.300,0.034
3.700,0.000,7.400,-0.011,7.400,0.024,7.400,0.034
3.750,0.000,7.500,-0.010,7.500,0.024,7.500,0.034
3.800,0.000,7.600,-0.010,7.600,0.024,7.600,0.034
3.850,6.104E-4,7.700,-0.010,7.700,0.024,7.700,0.034
3.900,0.000,7.800,-0.009,7.800,0.024,7.800,0.034
